Country_Code,Country_Name,Region,Year,Company_Size,NACE_Code,NACE_Sector,AI_Adoption_Pct,Unemployment_Rate,Labour_Market_Health,Digital_Skills_Index,GDP_per_capita,Development_Level,RD_Investment_pct_GDP,ICT_Employment_pct,AI_Readiness_Score,Quadrant
PL,Poland,Eastern,2024,Small,C,Manufacturing,9.1,2.8,Stable,55.1,18000,Low,1.4,4.1,50.2,Skilled-Low-AI
DK,Denmark,Nordic,2025,Large,J,IT and Communication,47.8,4.8,Stable,80.1,64000,High,3.2,7.0,74.2,Leader
SE,Sweden,Nordic,2025,Large,J,IT and Communication,43.5,8.2,Moderate,78.0,57000,High,3.5,7.3,71.1,Leader
FI,Finland,Nordic,2025,Large,J,IT and Communication,42.1,7.1,Moderate,76.5,52000,High,3.0,6.7,69.5,Leader
DE,Germany,Western,2025,Large,C,Manufacturing,32.4,2.8,Stable,65.0,48000,High,3.2,5.2,63.5,Leader
FR,France,Western,2025,Large,M,Scientific,30.1,7.0,Moderate,62.0,45000,High,2.3,4.7,59.0,Leader
ES,Spain,Southern,2025,Large,J,IT and Communication,25.3,11.5,Fragile,55.0,31500,Medium,1.5,4.0,45.8,Laggard
IT,Italy,Southern,2025,Large,C,Manufacturing,21.4,6.4,Moderate,51.2,34000,Medium,1.6,3.6,46.3,Laggard
PL,Poland,Eastern,2025,Large,C,Manufacturing,20.8,2.5,Stable,57.0,19500,Low,1.5,4.3,51.8,Skilled-Low-AI
CZ,Czechia,Eastern,2025,Large,J,IT and Communication,23.1,2.4,Stable,59.1,26500,Medium,2.1,4.7,55.0,Leader
NO,Norway,Nordic,2024,Large,J,IT and Communication,36.5,3.6,Stable,75.3,82000,High,2.1,6.5,70.1,Leader
NO,Norway,Nordic,2025,Large,J,IT and Communication,40.2,3.4,Stable,77.0,85000,High,2.2,6.7,72.0,Leader
DK,Denmark,Nordic,2024,Large,M,Scientific,44.1,5.0,Stable,78.4,62000,High,3.1,6.8,72.1,Leader
SE,Sweden,Nordic,2024,Large,M,Scientific,41.0,8.5,Moderate,76.2,55000,High,3.4,7.1,69.4,Leader
NL,Netherlands,Western,2024,Large,M,Scientific,37.8,3.6,Stable,73.1,58000,High,2.3,6.2,68.5,Leader
DE,Germany,Western,2024,Large,M,Scientific,30.4,3.0,Stable,63.4,46000,High,3.1,5.0,61.8,Leader
ES,Spain,Southern,2024,Large,M,Scientific,19.3,12.1,Fragile,53.4,30000,Medium,1.4,3.8,44.3,Laggard
PL,Poland,Eastern,2024,Large,M,Scientific,14.2,2.8,Stable,55.1,18000,Low,1.4,4.1,50.2,Skilled-Low-AI
DK,Denmark,Nordic,2024,Large,F,Construction,18.5,5.0,Stable,78.4,62000,High,3.1,6.8,72.1,Leader
DE,Germany,Western,2024,Large,F,Construction,15.3,3.0,Stable,63.4,46000,High,3.1,5.0,61.8,Leader
IT,Italy,Southern,2024,Large,F,Construction,10.2,6.7,Moderate,49.7,33000,Medium,1.5,3.5,44.8,Laggard
ES,Spain,Southern,2024,Large,I,Accommodation,22.8,12.1,Fragile,53.4,30000,Medium,1.4,3.8,44.3,Laggard
HR,Croatia,Southern,2024,Large,I,Accommodation,11.4,6.4,Moderate,44.2,17000,Low,0.9,3.1,37.8,Laggard
